fid,latitude,longitude,TOTAL_SCORE,cluster
4419,42.2816871,-71.05066592,52,84
4420,42.28193382,-71.05071691,66,84
4421,42.28220325,-71.05072888,51,84
4422,42.28228382,-71.05073914,51,84
4423,42.28274661,-71.05079803,51,84
4424,42.28285473,-71.05081458,51,84
4425,42.2831304,-71.05015635,51,84
4426,42.28306338,-71.04980791,51,84
4427,42.28286181,-71.04984672,51,84
4428,42.28276055,-71.04983377,51,84
4429,42.28251338,-71.04980213,51,84
4430,42.28190332,-71.04999983,51,84
4431,42.28204374,-71.05001774,51,84
4432,42.28216902,-71.05003374,51,84
4433,42.28230588,-71.0500512,51,84
4434,42.28288539,-71.05012512,51,84
4435,42.28230319,-71.04908363,52,84
4436,42.28206234,-71.04905529,67,84
4437,42.2819448,-71.04904082,66,84
4438,42.28230673,-71.05297181,51,84
4439,42.28264925,-71.0531522,51,84
4440,42.2828288,-71.05304185,51,84
4441,42.28285889,-71.05284925,52,84
4442,42.2818595,-71.05244862,51,84
4443,42.28146606,-71.05228174,51,84
4444,42.28092502,-71.05318024,51,86
4445,42.28112946,-71.05319228,51,86
4446,42.28125149,-71.05324596,51,86
4447,42.28137233,-71.05329911,51,86
4448,42.28149114,-71.05335136,51,86
4449,42.28160834,-71.05340292,51,86
4450,42.28172467,-71.05345408,51,86
4451,42.28183917,-71.05350444,51,86
4452,42.28195654,-71.05355604,51,86
4453,42.28207831,-71.05360958,52,86
4454,42.28231249,-71.05371251,51,86
4455,42.28242587,-71.05376235,54,86
4456,42.28249084,-71.05347818,51,86
4457,42.28237672,-71.05342837,51,86
4458,42.28226127,-71.053378,51,86
4459,42.2821461,-71.05332773,51,86
4460,42.28179059,-71.05317256,51,86
4461,42.28167471,-71.05312196,51,86
4462,42.28102524,-71.05275707,58,86
4463,42.28095785,-71.05304318,51,86
4464,42.28146974,-71.05417599,51,86
4465,42.28167793,-71.05426792,51,86
4466,42.28178725,-71.05431602,51,86
4467,42.28199776,-71.05440883,51,86
4468,42.28209888,-71.05445278,51,86
4469,42.2822016,-71.05449641,51,86
4470,42.28230807,-71.0545425,51,86
4471,42.28251985,-71.05419963,51,86
4472,42.28227339,-71.05417865,51,86
4473,42.28196544,-71.05404489,51,86
4474,42.2817525,-71.05395211,51,86
4475,42.28164903,-71.0539064,51,86
4476,42.28154386,-71.05386007,51,86
4477,42.2812278,-71.05372071,51,86
4478,42.28102501,-71.05363129,51,86
4479,42.28081946,-71.05364149,56,86
4480,42.28183286,-71.05514312,66,86
4481,42.28212835,-71.05492325,51,86
4482,42.28188568,-71.05484844,51,86
4483,42.28177761,-71.05481514,51,86
4484,42.28166786,-71.05478138,51,86
4485,42.28155789,-71.05474791,51,86
4486,42.2814689,-71.05466039,51,86
4487,42.28109779,-71.05445728,51,86
